asset,weight
AAPL,0.03
MSFT,0.03
GOOGL,0.03
AMZN,0.02
TSLA,0.02
NVDA,0.02
META,0.02
JPM,0.02
BAC,0.02
WFC,0.02
V,0.02
MA,0.02
PYPL,0.01
ADBE,0.01
NFLX,0.01
INTC,0.01
CSCO,0.01
ORCL,0.01
CRM,0.01
IBM,0.01
DIS,0.01
KO,0.01
PEP,0.01
MCD,0.01
SBUX,0.01
WMT,0.01
TGT,0.01
CVS,0.01
PFE,0.01
JNJ,0.01
MRK,0.01
BMY,0.01
XOM,0.01
CVX,0.01
BP,0.01
GOLD,0.02
SLV,0.01
SPY,0.01
VOO,0.01
VTI,0.01
QQQ,0.01
IWM,0.01
EFA,0.01
EEM,0.01
TLT,0.01
SHY,0.01
AGG,0.01
LQD,0.01
